Well,DEPTH,DT,DEN,NEU,PHIE,GR,Facies,Core_Perm,Core_POR,Zone
42/13a-A5Z,11711,68,2.865799904,0.096500002,0,63.64780045,-999.25,-999.25,-999.25,1
42/13a-A5Z,11711.5,68,2.88199997,0.0898,0,54.8757019,-999.25,-999.25,-999.25,1
42/13a-A5Z,11712,68,2.892800093,0.086499997,0,58.00450134,-999.25,-999.25,-999.25,1
42/13a-A5Z,11712.5,68,2.863600016,0.084200002,0,52.5094986,-999.25,-999.25,-999.25,1
42/13a-A5Z,11713,68,2.860699892,0.0836,0,50.49420166,-999.25,-999.25,-999.25,1
42/13a-A5Z,11713.5,68,2.856600046,0.0836,0.0033,46.19919968,-999.25,-999.25,-999.25,1
42/13a-A5Z,11714,44.79999924,2.854899883,0.086400002,0,48.9978981,-999.25,-999.25,-999.25,1
42/13a-A5Z,11714.5,45.59999847,2.803100109,0.0942,0,54.75839996,-999.25,-999.25,-999.25,1
42/13a-A5Z,11715,45.59999847,2.725500107,0.104800001,0,67.80619812,-999.25,-999.25,-999.25,1
42/13a-A5Z,11715.5,47.20000076,2.652100086,0.120200001,0,78.58239746,-999.25,-999.25,-999.25,1
42/13a-A5Z,11716,51.46670151,2.631500006,0.138400003,0,106.8872986,-999.25,-999.25,-999.25,1
42/13a-A5Z,11716.5,55.73329926,2.633599997,0.166700006,0,132.8085022,-999.25,-999.25,-999.25,1
42/13a-A5Z,11717,60,2.66899991,0.203700006,0,148.6678925,-999.25,-999.25,-999.25,1
42/13a-A5Z,11717.5,60,2.709100008,0.244100004,0,158.9205933,-999.25,-999.25,-999.25,1
42/13a-A5Z,11718,60,2.777899981,0.262699992,0,154.9792023,-999.25,-999.25,-999.25,1
42/13a-A5Z,11718.5,60,2.817699909,0.257800013,0,133.9403076,-999.25,-999.25,-999.25,1
42/13a-A5Z,11719,52,2.849699974,0.227899998,0,109.8843994,-999.25,-999.25,-999.25,1
42/13a-A5Z,11719.5,50.40000153,2.836899996,0.195099995,0,80.19039917,-999.25,-999.25,-999.25,1
42/13a-A5Z,11720,56,2.825700045,0.160400003,0,64.6371994,-999.25,-999.25,-999.25,1
42/13a-A5Z,11720.5,52,2.828700066,0.136299998,0,50.6208992,-999.25,-999.25,-999.25,1
42/13a-A5Z,11721,52,2.844599962,0.124200001,0,43.30329895,-999.25,-999.25,-999.25,1
42/13a-A5Z,11721.5,48,2.853600025,0.119800001,0,42.1086998,-999.25,-999.25,-999.25,1
42/13a-A5Z,11722,49.59999847,2.853800058,0.117200002,0,41.1678009,-999.25,-999.25,-999.25,1
42/13a-A5Z,11722.5,47.20000076,2.86590004,0.112599999,0,39.1189003,-999.25,-999.25,-999.25,1
42/13a-A5Z,11723,49.59999847,2.878499985,0.107799999,0,35.30989838,-999.25,-999.25,-999.25,1
42/13a-A5Z,11723.5,48,2.857300043,0.098800004,0,33.38639832,-999.25,-999.25,-999.25,1
42/13a-A5Z,11724,48.79999924,2.823800087,0.0902,0,34.30239868,-999.25,-999.25,-999.25,1
42/13a-A5Z,11724.5,48.79999924,2.789599896,0.079400003,0,33.40810013,-999.25,-999.25,-999.25,1
42/13a-A5Z,11725,49.59999847,2.768899918,0.070600003,0,34.23020172,-999.25,-999.25,-999.25,1
42/13a-A5Z,11725.5,50.40000153,2.761199951,0.0614,0,32.55860138,-999.25,-999.25,-999.25,1
42/13a-A5Z,11726,51.20000076,2.77670002,0.056200001,0,35.88240051,-999.25,-999.25,-999.25,1
42/13a-A5Z,11726.5,48.79999924,2.801700115,0.0559,0,35.27610016,-999.25,-999.25,-999.25,1
42/13a-A5Z,11727,48.79999924,2.790699959,0.057599999,0,35.50839996,-999.25,-999.25,-999.25,1
42/13a-A5Z,11727.5,48.79999924,2.75,0.059099998,0,37.73759842,-999.25,-999.25,-999.25,1
42/13a-A5Z,11728,47.20000076,2.713700056,0.060800001,0,71.13909912,-999.25,-999.25,-999.25,1
42/13a-A5Z,11728.5,50.40000153,2.687200069,0.065200001,0,88.63970184,-999.25,-999.25,-999.25,1
42/13a-A5Z,11729,60,2.689800024,0.071999997,0,92.34300232,-999.25,-999.25,-999.25,1
42/13a-A5Z,11729.5,60,2.683000088,0.079000004,0,112.1666031,-999.25,-999.25,-999.25,1
42/13a-A5Z,11730,60.3199997,2.676800013,0.0968,0,115.8733978,-999.25,-999.25,-999.25,1
42/13a-A5Z,11730.5,60.63999939,2.681699991,0.127299994,0.0001,113.3059006,-999.25,-999.25,-999.25,1
42/13a-A5Z,11731,60.95999908,2.680700064,0.165700004,0.0001,116.1755981,-999.25,-999.25,-999.25,1
42/13a-A5Z,11731.5,61.27999878,2.701600075,0.191799998,0.0001,110.6653976,-999.25,-999.25,-999.25,1
42/13a-A5Z,11732,61.59999847,2.715699911,0.187199995,0.0127,84.667099,-999.25,-999.25,-999.25,1
42/13a-A5Z,11732.5,59.20000076,2.761600018,0.159899995,0,69.61530304,-999.25,-999.25,-999.25,1
42/13a-A5Z,11733,56.79999924,2.80250001,0.122500002,0,55.31230164,-999.25,-999.25,-999.25,1
42/13a-A5Z,11733.5,53.59999847,2.821000099,0.093000002,0,43.00389862,-999.25,-999.25,-999.25,1
